TRAP ID,Lat,Long
1001,42.627103,25.246605
1002,42.626585,25.250297
1003,42.625915,25.24947
1004,42.625383,25.248682
1010,42.628303,25.284228
1011,42.626647,25.293209
1000,42.628486,25.244189
1016,42.636998,25.277834
1017,42.629079,25.280002
1018,42.626354,25.280477
1019,42.623357,25.289673
1020,42.623433,25.290542
1021,42.623049,25.291653
1022,42.62258,25.295608
1023,42.621049,25.297957
2001,42.636378,25.31999
2002,42.625818,25.326059
2003,42.626399,25.328311
2004,42.626412,25.324036
2005,42.626091,25.319479
2006,42.626213,25.31907
2007,42.626925,25.31884
2008,42.627886,25.317414
2020,42.633216,25.320292
2021,42.633649,25.319406
2022,42.633562,25.318983
2023,42.633604,25.318296
2027,42.617738,25.351372
2028,42.618843,25.356748
2029,42.618809,25.360435
2030,42.614987,25.360287
2013,42.623946,25.30949
2014,42.620411,25.310659
2015,42.622895,25.311128
2016,42.626424,25.31247
2017,42.627181,25.310993
3009,42.609432,25.247477
3011,42.611554,25.251629
3000,42.612928,25.246917
3043,42.61233,25.248048
3012,42.613244,25.251097
3046,42.608484,25.252422
3047,42.608208,25.25259
3048,42.608265,25.252233
4028,42.614036,25.337444
3015,42.609596,25.265373
3020,42.610606,25.263576
3049,42.617752,25.265143
3050,42.617677,25.264661
3051,42.618264,25.265088
3024,42.602768,25.26829
3026,42.6042,25.275148
3032,42.602408,25.283478
3033,42.602558,25.28393
3054,42.610407,25.248686
4002,42.60574,25.295417
4003,42.609068,25.306925
4004,42.610898,25.308405
4005,42.61203,25.308003
4006,42.6127,25.309028
4007,42.612818,25.309342
4011,42.61229,25.307378
4012,42.61093,25.31302
4013,42.611412,25.31054
4014,42.611132,25.31074
4015,42.610713,25.310917
4016,42.61057,25.310933
4052,42.600548,25.318685
4053,42.596468,25.321153
4054,42.59624,25.322973
4055,42.596057,25.323822
4056,42.588392,25.309375
4057,42.588002,25.310273
4058,42.587725,25.310293
4059,42.587565,25.310437
4060,42.580293,25.305247
4061,42.580542,25.304663
4062,42.592022,25.295938
4063,42.593318,25.297637
2018,42.625423,25.308789
4064,42.604687,25.309682
4066,42.557368,25.305522
4067,42.562293,25.312088
4068,42.562285,25.312773
4069,42.564337,25.310422
4070,42.564728,25.310325
4071,42.56499,25.309807
4072,42.563203,25.317302
4073,42.56588,25.31699
4074,42.567017,25.317323
4075,42.567347,25.31719
4076,42.567802,25.316752
4077,42.568121,25.316502
4078,42.613357,25.324677
4079,42.612435,25.324415
4080,42.612257,25.324297
4081,42.598592,25.331773
4017,42.592421,25.32146
4084,42.587513,25.363218
4085,42.621193,25.331898
4086,42.621428,25.331513
4087,42.621575,25.331222
4088,42.616607,25.340783
4089,42.620345,25.338298
4090,42.620385,25.338022
4091,42.6223,25.335955
4092,42.623838,25.335333
4093,42.623792,25.336595
4094,42.631313,25.331055
4095,42.616477,25.335128
4096,42.610327,25.330732
4008,42.60453,25.307815
4009,42.603221,25.308271
4010,42.591729,25.346848
4018,42.595913,25.321602
4019,42.598313,25.294527
4020,42.598866,25.294826
4021,42.572554,25.304566
4022,42.575335,25.304978
3117,42.673446,25.234968
4023,42.576318,25.303585
4024,42.606332,25.3084
4025,42.615196,25.330526
4026,42.615931,25.335391
4027,42.615966,25.33577
5003,42.630915,25.270015
5004,42.63109,25.269872
5007,42.630023,25.270207
5008,42.630505,25.2701
5001,42.635825,25.264336
5002,42.637956,25.2647
3001,42.614405,25.247261
1046,42.627816,25.294272
1047,42.627402,25.294759
1048,42.626192,25.295731
2072,42.686287,25.336876
2063,42.681116,25.34533
4100,42.671656,25.397651
4101,42.674214,25.390252
4102,42.671422,25.393554
4104,42.669278,25.394788
4103,42.67075,25.395737
4105,42.644327,25.392389
4107,42.679359,25.381412
4108,42.678234,25.375166
4109,42.682264,25.375607
4110,42.685586,25.37428
4111,42.675605,25.381437
3061,42.68549,25.255875
3066,42.682043,25.243627
3065,42.680939,25.243435
3064,42.680264,25.244366
3067,42.679528,25.242969
3069,42.679199,25.242319
3068,42.679084,25.242482
3070,42.678824,25.244407
3071,42.684908,25.24735
3072,42.685029,25.242996
3074,42.674623,25.250847
3073,42.665202,25.264706
3082,42.654231,25.227839
3081,42.653806,25.227902
3075,42.688433,25.258307
3076,42.688061,25.259876
3077,42.687465,25.259373
3090,42.650886,25.233396
3092,42.652234,25.240986
3091,42.657013,25.235666
3089,42.668876,25.242351
3088,42.668299,25.24277
3102,42.662924,25.207868
3103,42.662456,25.208443
3101,42.662944,25.20909
3099,42.662752,25.211751
3100,42.661904,25.211992
3096,42.661536,25.212962
3095,42.659797,25.214092
3104,42.659175,25.208889
3097,42.658463,25.213465
3105,42.656539,25.210096
3112,42.656658,25.207942
3108,42.661147,25.206098
3110,42.661102,25.206561
3109,42.660835,25.20605
3111,42.659652,25.205177
3136,42.685045,25.223059
3137,42.683583,25.222922
3138,42.683872,25.226868
3113,42.671734,25.242546
3114,42.67463,25.2405
3139,42.683753,25.225566
3140,42.680279,25.223931
3141,42.680343,25.221106
3142,42.680972,25.221603
3143,42.681148,25.22018
3144,42.681123,25.218674
3145,42.680589,25.217516
3116,42.677216,25.239089
3203,42.696919,25.294196
3204,42.702194,25.292735
3205,42.701604,25.293082
3206,42.702316,25.290846
3207,42.697804,25.300364
3208,42.695353,25.303629
3209,42.696671,25.306476
3210,42.699616,25.309359
3211,42.701412,25.311391
3212,42.70455,25.29733
3213,42.705211,25.297882
3214,42.708263,25.299372
3215,42.701414,25.310081
3216,42.702021,25.308025
3217,42.705518,25.310526
3218,42.706581,25.312197
3219,42.707503,25.314021
3220,42.708585,25.313143
3221,42.709127,25.312682
3222,42.710333,25.312807
3223,42.701003,25.314608
3224,42.693764,25.282935
3171,42.682754,25.206351
3170,42.683197,25.206992
3172,42.682989,25.207626
3173,42.683037,25.207763
3174,42.683277,25.207577
3175,42.683357,25.207737
3176,42.683514,25.207983
3177,42.683654,25.208157
3178,42.683699,25.208632
3179,42.683388,25.208914
3180,42.684664,25.209557
3182,42.683328,25.210249
3183,42.683364,25.211208
3184,42.68384,25.211906
3185,42.683752,25.212496
3186,42.683636,25.212711
3187,42.683105,25.212195
3189,42.682777,25.212728
3190,42.682642,25.212309
3127,42.693399,25.260408
3118,42.672053,25.234671
3119,42.671858,25.235065
3120,42.67228,25.233637
3123,42.671999,25.232979
3125,42.680493,25.225917
3134,42.688029,25.234871
3128,42.682659,25.231543
3129,42.684025,25.231543
3131,42.686431,25.228243
3132,42.680988,25.224477
3147,42.683729,25.218748
3146,42.68303,25.220906
3148,42.682701,25.216491
3149,42.68224,25.216998
3150,42.681951,25.2163
3151,42.681814,25.216375
3152,42.68226,25.216056
3153,42.682849,25.218204
3154,42.683405,25.220424
3155,42.683408,25.21953
3156,42.683037,25.220223
3157,42.681339,25.217118
3158,42.681527,25.216924
3159,42.681567,25.217276
3160,42.681226,25.217686
3161,42.682114,25.217825
3162,42.682156,25.218295
3163,42.681985,25.218488
3164,42.681465,25.218821
3165,42.682507,25.219054
3166,42.682041,25.219664
3167,42.682155,25.220161
3168,42.682142,25.214819
3191,42.68239,25.212078
3192,42.682634,25.211184
3193,42.682091,25.211901
3194,42.681815,25.212409
3195,42.681957,25.213117
3196,42.683056,25.214104
3197,42.682973,25.213273
3198,42.683273,25.213235
3199,42.683682,25.213446
3200,42.684045,25.213105
3201,42.684445,25.216152
3115,42.677787,25.239754
2033,42.624334,25.358027
2034,42.642994,25.341803
2041,42.642268,25.359819
2043,42.648103,25.341532
2047,42.658093,25.356051
2042,42.636486,25.358835
2052,42.615424,25.348856
2053,42.614311,25.347855
2050,42.673636,25.421432
1024,42.686737,25.373959
1025,42.688196,25.372955
